,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPOSISI %,,Category,,,,Ester,Ester,Additive,Base Oil,Base Oil,Base Oil,,,Ester,,,,VM,VM,,,,,,,,,,,,,,,Hasil Pengukuran,,,,,,,,
No,Tanggal,Entry,Genlube 135,Genlube 165,Genlube 6165,Genlube 0831,Triester ,CV 1103,Cosco S4,Cosco S6,Cosco S8,N 150,N 500,Priolube (Palm Ester 3970),PAMA 52%,PAMA 62%-Z1,"SPAMA 20/5 - 41,5%",VM -  NMM (HV),VM - SPAMA 52%,Lucant HC 600,RF 6066,Lubrizol VL 9101F,FC 9250,FC 9270,WN 1014,WN 2018,WN 2112,WN 2118,WN 7014,WN 9014,WN 2010 B,PV 1510,Total,KV 40,KV 100,Vi,HTHS (mPa.S),CCS (mPa.S),Pour Point (C),Noack (%),4 Ball (WSD/Coef Friction,Flash Point (C)
67,02 Oktober 2020,F 540 - 05,,,,,3.75,7.15,,2.5,31.6,,,,,,,,5,,,,,,,,,,,,,,50,91.29,13.39,147.431,,,,,,
68,02 Oktober 2020,F 540 - 06,,,,2.5,5,7.15,,,30.35,,,,,,,,5,,,,,,,,,,,,,,50,-,13.15,-,,,,,,
69,02 Oktober 2020,F 540 - 07,,,,,5,7.15,,,30.35,,,2.5,,,,,5,,,,,,,,,,,,,,50,-,13.295,-,,,,,,
70,02 Oktober 2020,F 540 - 08,,,,2.5,7.5,14.3,,,65.7,,,,,,,,10,,,,,,,,,,,,,,100,-,13.09,-,,,,,,
71,02 Oktober 2020,F 540 - 09,,,,2.5,7.5,14.3,,,68.7,,,,,,,,7,,,,,,,,,,,,,,100,81.83,11.685,135.063,,,,,,
72,02 Oktober 2020,F 540 - 10,,,,,10,14.3,,5,62.7,,,,,,,8,,,,,,,,,,,,,,,100,-,15.895,-,,,,,,
73,02 Oktober 2020,F 540 - 11,,,,5,5,14.3,,,68.7,,,,,,,7,,,,,,,,,,,,,,,100,87.72,13.44,154.821,,,,,,
74,02 Oktober 2020,F 540 - 12,,,,2.5,7.5,14.3,,5,64.2,,,,,,,6.5,,,,,,,,,,,,,,,100,92.46,14.265,159.385,4.162,,,,,
75,02 Oktober 2020,10W40 - 02 A,,,,,10,,,,71.3,,,,,,10,,,,,,,,8.7,,,,,,,,100,85.19,13.085,154.027,,,,,,
76,05 Oktober 2020,F 540 - 13,,,,,7.5,14.3,,,68.7,,,2.5,,,,,7,,,,,,,,,,,,,,100,89.335,12.01,127.074,,,,,,
77,05 Oktober 2020,F 540 - 14,,,,,5,14.3,,,67.7,,,5,,,,,8,,,,,,,,,,,,,,100,80.245,11.92,142.804,,,,,,
78,05 Oktober 2020,0W20 - 05,,,,,10,,59,28,,,,,,,,,3,,,,,,,,,,,,,8.28,108.28,-,6.9,-,2.39350667,,,11.87%,,
79,05 Oktober 2020,0W20 - 06,,,,10,,,59,28,,,,,,,,,3,,,,,,,,,,,,,8.28,108.28,-,6.215,-,2.301725,,,12.97%,,
80,05 Oktober 2020,0W20 - 07,,,,5,5,,59,28,,,,,,,,,3,,,,,,,,,,,,,8.28,108.28,-,6.51,-,2.310815,,,13.08%,,
81,05 Oktober 2020,0W20 - 08,,,,,,,59,28,,,,10,,,,,3,,,,,,,,,,,,,8.28,108.28,-,6.365,-,2.3404,,,11.25%,,
82,05 Oktober 2020,0W20 - 05 A,,,,,10,,58,26,,,,,,,,,6,,,,,,,,,,,,,8.28,108.28,-,7.52,-,2.4986,,,11.87%,,
83,05 Oktober 2020,0W20 - 05 B,,,,,10,,57,26,,,,,,,,,7,,,,,,,,,,,,,8.28,108.28,42.965,8.23,169.797,2.59711,,,12.02%,,
84,06 Oktober 2020,0W20 - 05 C,,,,,10,,57,26,,,,,,,,,7,,,,,,,,,,,,,8.28,108.28,64.075,11.06,166.052,3.475925,,,,,
85,06 Oktober 2020,0W20 - 05 D,,,,,10,,56.5,26,,,,,,,,,7.5,,,,,,,,,,,,,8.28,108.28,46.35,8.045,146.517,2.74351,,,,,
86,06 Oktober 2020,TRL 10W30 - Improve 1 ,,,,10,,,37.55,38,,,,,,,,,6,,,,,7.65,,0.6,,,,0.2,,,100,48.235,8.13,141.441,2.7290775,,,,,
87,06 Oktober 2020,F 540 - 15,,,,,7.5,14.3,5,62.7,,,,2.5,,,,,8,,,,,,,,,,,,,,100,81.725,12.14,143.97,,,,,,
88,06 Oktober 2020,F 540 - 16,,,,,5,14.3,7.5,58.2,,,,5,,,,,10,,,,,,,,,,,,,,100,82.555,11.09,122.248,,,,,,
89,06 Oktober 2020,F 540 - 17,,,,,5,14.3,15,50.7,,,,5,,,,,10,,,,,,,,,,,,,,100,83.4,11.675,131.788,,,,,,
90,06 Oktober 2020,F 540 - 18,,,,,5,14.3,30,35.7,,,,5,,,,,10,,,,,,,,,,,,,,100,75.51,11.755,150.146,,,,,,
91,06 Oktober 2020,Genvis SPAMA (20/5) 52%,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,100,1451.67,153.24,221.099,,,,,,
92,06 Oktober 2020,T 45,,,,,,,95,,,,,,,,,,5,,,,,,,,,,,,,,100,-,5.235,-,,,,,,
93,06 Oktober 2020,T 410,,,,,,,90,,,,,,,,,,10,,,,,,,,,,,,,,100,-,5.805,-,,,,,,
94,06 Oktober 2020,T 65,,,,,,,,95,,,,,,,,,5,,,,,,,,,,,,,,100,-,351.475,-,,,,,,
95,06 Oktober 2020,T 610,,,,,,,,90,,,,,,,,,10,,,,,,,,,,,,,,100,-,7.485,-,,,,,,
96,06 Oktober 2020,T 85,,,,,,,,,95,,,,,,,,5,,,,,,,,,,,,,,100,-,8.185,-,,,,,,
97,06 Oktober 2020,T 810,,,,,,,,,90,,,,,,,,10,,,,,,,,,,,,,,100,-,8.86,-,,,,,,
98,07 Oktober 2020,TRL SAE 5W30 GF6 / API-SP,,,,,10,,,37.55,38.34,,,,,,,,5.83,,,,,,,,,,,,,8.28,100,62.405,9.84,141.882,3.28400667,,,,,
99,07 Oktober 2020,TRL 10W40 GF5 / API-SN PLUS,,,,,10,,,,73.75,,,,,,,7.55,,,,,,,8.7,,,,,,,,100,87.405,14.375,171.084,4.0394475,,,,,
100,07 Oktober 2020,F 540 - 19,,,,,5,14.3,,40,25.7,,,5,,,,,10,,,,,,,,,,,,,,100,75.32,11.32,141.796,,,,,,
101,07 Oktober 2020,F 540 - 20,,,,,,14.3,,30,35.7,,,10,,,,,10,,,,,,,,,,,,,,100,68.47,10.47,140.171,,,,,,
102,07 Oktober 2020,TRL 5W30 Improve 1,,,,,10,,,38.72,36,,,,,,,,7,,,,,,,,,,,,,8.28,100,65.765,10.545,149.176,3.36076,,,,,
103,07 Oktober 2020,TRL SAE 10W30 - JASO MB / API-SN [IMPROVEMENT],500,,,,,,,1877.5,1900,,,,,,,,,,,,,382.5,,30,,,,10,,,4700,64.25,9.73,133.921,3.475925,,,,,
104,08 Oktober 2020,F 540 - 21,,,,,5,14.3,,45,20.7,,,5,,,,,10,,,,,,,,,,,,,,100,74.425,-,-,,,,,,
105,08 Oktober 2020,F 540 - 22,,,,,5,14.3,,50,15.7,,,5,,,,,10,,,,,,,,,,,,,,100,72.79,-,-,,,,,,
106,08 Oktober 2020,F 540 - 23,,,,,5,14.3,,65.7,,,,5,,,,,10,,,,,,,,,,,,,,100,69.965,10.75,142.569,,,,,,
107,08 Oktober 2020,F 540 - 24,,,,,,14.3,,65.7,,,,10,,,,,10,,,,,,,,,,,,,,100,62.025,9.945,145.641,,,,,,
108,08 Oktober 2020,F 540 - 25,,,,,10,14.3,41.82,27.88,,,,,,,,,6,,,,,,,,,,,,,,100,53.44,8.985,148.343,,,,,,
109,08 Oktober 2020,TRL SAE 5W30 Improve 2,,,,,10,,,45.22,30,,,,,,,,6.5,,,,,,,,,,,,,8.28,100,64.21,9.135,119.236,3.3675,,,,,
110,09 Oktober 2020,F 540 - 26,,,,,10,14.3,39.42,26.28,,,,,,,,,10,,,,,,,,,,,,,,100,61.505,9.945,147.213,,,,,,
111,09 Oktober 2020,F 540 - 27,,,,,5,14.3,39.42,26.28,,,,5,,,,,10,,,,,,,,,,,,,,100,55.86,9.305,148.747,,,,,,
112,09 Oktober 2020,F 540 - 28,,,,,10,14.3,,10,65.7,,,,,,,,,,,,,,,,,,,,,,100,96.02,14.74,160.212,4.289,,,,,
113,09 Oktober 2020,F 540 - 29,,,,,10,14.3,,15,60.7,,,,,,,,,,,,,,,,,,,,,,100,93.495,14.935,167.813,4.25,,,,,
114,09 Oktober 2020,TRL SAE 5W30 Improve 3,,,,,10,,,44.72,30,,,,,,,,7,,,,,,,,,,,,,8.28,100,62.13,9.74,140.175,,,,,,
115,09 Oktober 2020,VM NMM - HV ,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,100,1593.02,221.365,276.193,,,,,,
116,09 Oktober 2020,H 45,,,,,,,95,,,,,,,,,5,,,,,,,,,,,,,,,100,-,7.73,-,,,,,,
